Player,Team,Pos
Curtis Samuel,CAR,WR
Jared Cook,NO,TE
Darrell Henderson,LAR,RB
Matt Breida,SF,RB
Donte Moncrief,PIT,WR
Geronimo Allison,GB,WR
Tarik Cohen,CHI,RB
Marvin Jones Jr.,DET,WR
Cam Newton,CAR,QB
Jared Goff,LAR,QB
Marquez Valdes-Scantling,GB,WR
Peyton Barber,TB,RB
Jamison Crowder,NYJ,WR
Anthony Miller,CHI,WR
Corey Davis,TEN,WR
Austin Hooper,ATL,TE
Drew Brees,NO,QB
Dante Pettis,SF,WR
Ronald Jones,TB,RB
Dion Lewis,TEN,RB
Delanie Walker,TEN,TE
Jameis Winston,TB,QB
Russell Wilson,SEA,QB
Larry Fitzgerald,ARI,WR
Courtland Sutton,DEN,WR
Devin Singletary,BUF,RB
LeSean McCoy,BUF,RB
Greg Olsen,CAR,TE
Alexander Mattison,MIN,RB
Justin Jackson,LAC,RB
DeSean Jackson,PHI,WR
Jamaal Williams,GB,RB
Jack Doyle,IND,TE
Malcolm Brown,LAR,RB
Darwin Thompson,KC,RB
Mitchell Trubisky,CHI,QB
Michael Gallup,DAL,WR
Lamar Jackson,BAL,QB
Dak Prescott,DAL,QB
David Njoku,CLE,TE
John Brown,BUF,WR
Justice Hill,BAL,RB
Ty Montgomery,NYJ,RB
Devin Funchess,IND,WR
Rashard Higgins,CLE,WR
Tyrell Williams,OAK,WR
Mohamed Sanu,ATL,WR
Tony Pollard,DAL,RB
Marquise Brown,BAL,WR
NKeal Harry,NE,WR
Deebo Samuel,SF,WR
Bears D/ST,CHI,DST
Rams D/ST,LAR,DST
Jaguars D/ST,JAC,DST
Vikings D/ST,MIN,DST
Chargers D/ST,LAC,DST
Texans D/ST,HOU,DST
Patriots D/ST,NE,DST
Colts D/ST,IND,DST
Bills D/ST,BUF,DST
Saints D/ST,NO,DST
Greg Zuerlein,LAR,K
Stephen Gostkowski,NE,K
Justin Tucker,BAL,K
Wil Lutz,NO,K
Harrison Butker,KC,K
Kaimi Fairbairn,HOU,K
Robbie Gould,SF,K
Adam Vinatieri,IND,K
Brett Maher,DAL,K
Jason Myers,SEA,K
Tom Brady,NE,QB
Darren Waller,OAK,TE
Damien Harris,NE,RB
Chris Thompson,WAS,RB
Philip Rivers,LAC,QB
Golden Tate,NYG,WR
Parris Campbell,IND,WR
Jaylen Samuels,PIT,RB
Giovani Bernard,CIN,RB
Josh Allen,BUF,QB
Kareem Hunt,CLE,RB
Adam Humphries,TEN,WR
Miles Boykin,BAL,WR
Keke Coutee,HOU,WR
James Washington,PIT,WR
Trey Quinn,WAS,WR
Carlos Hyde,KC,RB
Kirk Cousins,MIN,QB
Eric Ebron,IND,TE
Kyle Rudolph,MIN,TE
Nyheim Hines,IND,RB
Ryquell Armstead,JAC,RB
Ito Smith,ATL,RB
Albert Wilson,MIA,WR
Kenny Stills,MIA,WR
Mark Andrews,BAL,TE
Sam Darnold,NYJ,QB
DaeSean Hamilton,DEN,WR
Dallas Goedert,PHI,TE
TreQuan Smith,NO,WR
Hunter Renfrow,OAK,WR
Trey Burton,CHI,TE
Adrian Peterson,WAS,RB
Jordan Reed,WAS,TE
Derek Carr,OAK,QB
C.J. Anderson,DET,RB
Jalen Richard,OAK,RB
Mike Davis,CHI,RB
Frank Gore,BUF,RB
Chase Edmonds,ARI,RB
DK Metcalf,SEA,QB
Titans D/ST,TEN,DST
Broncos D/ST,DEN,DST
Mike Badgley,LAC,K
Matt Prater,DEN,K
Chris Conley,JAG,WR
Jimmy Graham,JAG,WR
DJ Chark,JAG,WR
Paul Richardson,WAS,WR
Mecole Hardman,KC,WR
Andy Isabella,ARI,WR
Deon Cain,IND,WR
Jerick McKinnon,SF,RB
Eagles D/ST,PHI,DST
Jake Elliott,PHI,K
Mason Crosby,GB,K
Chris Herndon,NYG,TE
A.J. Brown,TEN,WR
Terry McLaurin,WAS,WR
Mark Walton,MIA,RB
Dexter Williams,GB,RB
Damarea Crockett,HOU,RB
Gus Edwards,BAL,RB
T.J. Hockenson,DET,TE
Noah Fant,DEN,TE
Jakobi Meyers,NE,WR
Cole Beasley,BUF,WR
Ted Ginn Jr.,NO,WR
Michael Crabtree,ARI,WR
Randall Cobb,DAL,WR
Jimmy Garoppolo,SF,QB
Browns D/ST,CLE,DST
Ryan Succop,TEN,K
Aldrick Rosas,NYG,K
DeVante Parker,MIA,WR
Zay Jones,BUF,WR
Quincy Enunwa,NYJ,WR
Willie Snead IV,BAL,WR
Josh Doctson,WAS,WR
Nelson Agholor,PHI,WR
John Ross,CIN,WR
Robert Foster,BUF,WR
Theo Riddick,DEN,RB
Dontrell Hilliard,CLE,RB
Darren Sproles,PHI,RB
Benny Snell Jr.,PIT,RB
Doug Martin,OAK,RB
Rex Burkhead,NE,RB
Matthew Stafford,DET,QB
Marcus Mariota,TEN,QB
Jacoby Brissett,IND,QB
Tyler Eifert,CIN,TE
Mike Gesicki,MIA,TE
Will Dissly,SEA,TE
Andre Ellington,TB,RB
JJ Arcega-Whiteside,PHI,WR
Diontae Johnson,PIT,WR
Ravens D/ST,BAL,DST
Steelers D/ST,PIT,DST
Giorgio Tavecchio,ATL,K
Gerald Everett,LAR,TE
Jason Witten,DAL,TE
Preston Williams,MIA,WR
Marqise Lee,JAG,WR
Wayne Gallman,NYG,RB
Alfred Morris,DAL,RB
Andy Dalton,CIN,QB
Eli Manning,NYG,QB
Nick Foles,JAG,QB
Joe Flacco,DEN,QB
Ryan Fitzpatrick,MIA,QB
Breshad Perriman,TB,WR
David Moore,SEA,WR
Taylor Gabriel,CHI,WR
Trent Taylor,SF,WR
Danny Amendola,DET,WR
Alfred Blue,JAG,RB
T.J. Yeldon,BUF,RB
Bilal Powell,NYJ,RB
Bryce Love,WAS,RB
Jordan Wilkins,IND,RB
Qadree Ollison,ATL,RB
Cameron Artis-Payne,CAR,RB
Zach Zenner,DET,RB
Marquise Goodwin,SF,WR
Panthers D/ST,CAR,DST
Redskins D/ST,WAS,DST
Graham Gano,CAR,K
Benjamin Watson,NE,TE
Matt LaCosse,NE,TE
Jordan Thomas,HOU,TE
Hayden Hurst,BAL,TE
Dawson Knox,BUF,TE
Antonio Callaway,CLE,WR
Josh Reynolds,LAR,WR
Case Keenum,WAS,QB
Chiefs D/ST,KC,DST
Cowboys D/ST,DAL,DST
Cardinals D/ST,ARI,DST
Lions D/ST,DET,DST
